,0
18,"MESSAGE
1 công việc:
👉 Chẳng mất tiền MUA (xin việc)
👉 Chẳng mất tiền VỐN
👉 Chẳng mất tiền HỌC
👉 Chẳng mất tiền CHẠY (chức)

1 công việc:
❤️ Được đào tạo MIỄN PHÍ
❤️ Được tưởng thưởng XỨNG ĐÁNG
❤️ Được hỗ trợ TỐI ĐA
❤️ Được rèn luyện kỹ năng VÔ HẠN

1 công việc:
🍀 ÍCH NƯỚC
🍀 LỢI NHÀ
🍀 GIÚP NGƯỜI
🍀 GIÚP ĐỜI

1 công việc:
🌟 Từ Tập đoàn tài chính SỐ 1 thế giới
🌟 Trong 1 môi trường làm việc năng động, trẻ trung, thân thiện
🌟 Trong 1 TEAM đầy nhiệt huyết, cùng chung chí hướng
🌟 Với sản phẩm cung cấp cho Khách hàng toàn diện, ưu việt

Welcome tất cả những ai quan tâm tới công việc này, không cần biết bạn là ai, đang làm gì, trình độ ra sao, vị trí xã hội như thế nào .... 

CHÚNG TÔI LÀ NHỮNG NGƯỜI BÁN TƯƠNG LAI - NHỮNG NGƯỜI TƯ VẤN BẢO HIỂM AIA VIỆT NAM
INBOX NGAY  CHO TÔI NHÉ..!
Trưởng phòng kinh doanh 
Đỗ Trần Anh Vũ 
0903545643
DESCRIPTION
Hiện tại, Trường Đại học Kinh tế TP. Hồ Chí Minh (UEH) đang tổ chức đào tạo các ngành, chuyên ngành tiệm cận các chương trình đào tạo tiên tiến trên thế giới với đủ các bậc từ cử nhân, cao học và nghiên cứu sinh; và là một tron..."
19,"MESSAGE
CÔNG KHAI CÁC DOANH NGHIỆP NỢ ĐÓNG BHXH TRÊN BÁO CHÍ

Đây là nội dung nằm trong Kế hoạch 194/KH-UBND của UBND TP. Hà Nội ngày 26/8/2021 về thực hiện các giải pháp, biện pháp thu hồi nợ đóng bảo hiểm xã hội (BHXH), bảo hiểm y tế (BHYT), bảo hiểm thất nghiệp (BHTN) trên địa bàn Thành phố giai đoạn 2021 - 2025.
DESCRIPTION
Thực hiện chi trả lương hưu, trợ cấp BHXH vào cùng 1 kỳ để bảo đảm phòng, chống dịch bệnh Covid-19.(Trong ảnh: Cán bộ Bưu điện Quảng Bình thực hiện chi trả"
20,"MESSAGE
(Xã hội) - Ngày 27-8, bà Phan Thị Ngọc Hương, Phó Giám đốc Bưu điện Quảng Bình cho biết, thực chỉ đạo của Bảo hiểm xã hội (BHXH) Việt Nam, đơn vị đang phối hợp với BHXH tỉnh xây dựng phương án, tiến hành chi trả lương hưu, trợ cấp BHXH tháng 9 và 10-2021 vào cùng một kỳ để phòng, chống dịch bệnh Covd-19....

https://tinquangbinh.com/1213337/chi-tra-luong-huu-tro-cap-bhxh-thang-9-va-10-2021-vao-cung-mot-ky/
DESCRIPTION
MS03: Bài dự thi NÉT ĐẸP THỜI “CÔ-VY”

🌺 Trong thời điểm toàn xã hội đang rất khó khăn vì tình hình dịch bệnh Covid 19. Công Ty Bảo Việt Nhân Thọ Mỹ Đình và toàn thể các ace tư vấn viên thực hiện nghiêm chỉnh các công tác phòng dịch và giãn cách xã hội theo chỉ thị 17/CT- UBND và công điện số 18/CĐ-UBND dựa trên tinh thần chỉ thị 16/CT-TTg của Thủ Tướng Chính Phủ .

🌺 Với tinh thần lạc quan và năng lượng tích cực, giữ nề nếp sinh hoạt công việc hàng ngày "" chuyên nghiệp - kỷ luật "" , em Nhàn thực hiện tiêu chuẩn 3Đ #ĐÚNG_ĐỦ_ĐỀU , và làm việc theo thông điệp của Công Ty BVNT Mỹ Đình : "" Ở NHÀ NHƯNG KHÔNG Ở KHÔNG "" .

Hàng ngày vẫn luôn chăm sóc cho các khách hàng : 
👉 Tư vấn sản phẩm, quyền lợi liên quan đến bảo vệ Covid 19, những quyền lợi ưu việt dành cho khách hàng mới và cũ nếu không may gặp rủi ro liên quan đến Covid : bồi thường 200% STBH y tế nằm viện khi điều trị Covid, với sản phẩm Sức Khoẻ BVAG thanh toán Covid như 1 loại bệnh, thời gian chờ chỉ 30 ngày .
👉 Quan tâm, động viên, chia sẻ và lan toả tích cực năng lượng cho Khách hàng trong mùa dịch .
👉 Hướng dẫn khách hàng sử dụng , đóng phí định kì qua app MyBVLife để các quyền lợi của khách được đảm bảo và không bị gián đoạn 

 🌺Với niềm đam mê yêu ngành nghề của mình, luôn đặt tinh thần trách nhiệm , đảm bảo quyền lợi thật tốt cho Khách hàng, và mong muốn toàn bộ các ace chúng ta an toàn trong mùa dịch, và an tâm hơn khi có Bảo hiểm Bảo Việt bảo vệ, và em Nhàn chăm sóc .
Chúc cho Toàn dân Việt Nam ta dập dịch thành công, nhanh chóng để cuộc sống luôn vui tươi, hạnh phúc và bình yên 🌺
________________________________________
Họ tên TVV: Phạm Thị Thanh Nhàn
Mã TVV: D108677691
Chức danh: Giám đốc ban Thanh Xuân 

#baovietnhanthomydinh
#netdepthoicovy
#baiduthianh"
21,"MESSAGE
Ngày 1/9/2021 là thời điểm có hiệu lực của Thông tư 04/2021/TT-BCT và Thông tư 06/2021/TT-BLĐTBXH với nhiều quy định mới ảnh hưởng đến quyền lợi của người lao động. Theo đó sẽ có một số quy định mới có lợi cho người lao động.

1. Thời gian làm công việc trong hầm lò chỉ còn 7 giờ/ngày
Thời giờ làm việc của người lao động tại vị trí sản xuất trong hầm lò không quá 7 giờ trong 1 ngày và không quá 42 giờ trong 1 tuần.

2. Ca làm việc tối đa trong hầm lò còn 9,5 giờ/ngày
Quy định này giúp người lao động giảm bớt thời giờ tiếp xúc với các yếu tố độc hại, nguy hiểm. Từ đó bảo vệ sức khỏe trong môi trường làm việc nặng nhọc độc hại, nguy hiểm.

3. Mang thai đôi được tính hưởng chế độ thai sản theo số con sinh ra
Trường hợp lao động nữ mang thai đôi trở lên mà khi sinh nếu có con bị chết hoặc chết lưu thì thời gian hưởng, trợ cấp thai sản khi sinh con và trợ cấp một lần khi sinh con được tính theo số con được sinh ra, bao gồm cả con bị chết hoặc chết lưu.

4. Mở rộng trường hợp hưởng trợ cấp 1 lần khi vợ sinh con của nam
Trường hợp người mẹ tham gia bảo hiểm xã hội nhưng không đủ điều kiện hưởng chế độ thai sản khi sinh con mà người cha đủ điều kiện quy định tại điểm a khoản này thì người cha được hưởng trợ cấp một lần khi sinh con theo Điều 38 của Luật Bảo hiểm xã hội.

5. Lao động nam được nghỉ hưởng chế độ thai sản nhiều lần
Thêm một quyền lợi mới cho lao động nam tại Thông tư 06/2021 đó là được nghỉ chế độ thai sản thành nhiều lần khi vợ sinh con.
Trước đây khi không có quy định này, việc nghỉ hưởng chế độ thai sản của lao động nam khi vợ sinh con thường thực hiện một lần cho toàn thời gian được quy định.
Với quy định mới, từ ngày 1/9/2021, lao động nam có thể nghỉ hưởng chế độ thai sản một cách linh hoạt hơn nhờ chia thời gian nghỉ thành nhiều lần nhưng phải đảm bảo:
- Thời gian bắt đầu nghỉ việc của lần cuối cùng phải trong 30 ngày đầu từ ngày vợ sinh con.
- Tổng thời gian nghỉ tối đa:
+ 5 ngày làm việc: Trường hợp thông thường.
+ 7 ngày làm việc: Vợ phải phẫu thuật, sinh con dưới 32 tuần tuổi.
+ 10 ngày làm việc: Sinh đôi; từ sinh 3 trở lên thì cứ thêm mỗi con được nghỉ thêm 3 ngày làm việc.
+ 14 ngày làm việc: Vợ sinh đôi trở lên mà phải phẫu thuật.
(Theo Doanh nghiệp và Tiếp thị)
DESCRIPTION
BẢO HIỂM XÃ HỘI TỰ NGUYỆN"
22,"MESSAGE
CÔNG TY TNHH CƠ KHÍ VIỆT MỸ LIÊN DOANH CÔNG TY NƯỚC CỘNG HOÀ SÉC
Do ảnh hưởng đại dịch Covd – 19:Một loạt các Công ty cơ khí, không có việc làm.
Chuẩn bị đón chuyên gia Công Hoà Séc sang bàn giao công nghệ.Khi đại dịch được khống chế.

TUYỂN DỤNG 100 CÔNG NHÂN

 Thợ cơ khí, Thợ nguội, Thợ rèn, Thợ đột dập, Thợ tiện, Thợ hàn.
Yêu Cầu.
1.Có kinh nghiệm tay nghề  1 năm trở lên.
2.Chịu được áp lực công việc, có tác phong công nghiệp
3.Lương thu nhập từ: 9 triệu đến 15 triệu (Vào Làm Khoán Sản Phẩm, theo năng lực, Tay Nghề ).
4.Quyền lợi được hưởng: Được đóng bảo hiểm xã hội theo luật lao động, Các chế độ thưởng  của Công ty.
5.Công việc ổn định LÂU DÀI.Có chỗ ăn ở cho Công nhân,tại Khu Công Nghiệp CầuTrung Hà – Tam Nông - Phú Thọ.

+Nhận hồ sơ và phỏng vấn hằng ngày.
 Công ty chủ quản: CÔNG TY TNHH VIỆT MỸ
+ Địa chỉ: Cụm công nghiệp Cầu Trung Hà - Tam Nông – Tỉnh Phú Thọ
Mọi thông tin liên hệ anh Ninh Trưởng phòng  phòng nhân sự.
Điện thoại: 0969718626 .
 CV gửi qua Email: [ninh8a@gmail.com]
DESCRIPTION
Sổ bảo hiểm xã hội (BHXH) sẽ là căn cứ quan trọng để người lao động có thể hưởng những quyền lợi cần thiết. Tuy nhiên, nhiều người sau khi nghỉ việc lại thờ ơ với việc lấy sổ BHXH. Điều này sẽ khiến người lao động mất n..."
23,"MESSAGE
Đặc Điểm công ty bảo hiểm bên em.mác covit còn được hỗ trợ 20 tr đồng cho Mỗi hợp Đồng nảo hiểm mj hé⛳️⛳️⛳️⛳️⛳️❤️ Ngày 2.8.2021 Văn phòng Tam Dương rất vinh dự được đại diện cho cty BHNT Dai-ichi-life Việt Nam trao quyền lợi hỗ Trợ Điều Trị Covid cho 1 gia đình 4 người tại Xã Đồng Văn, yên lạc, Vĩnh phúc với tổng số tiền là 
4x20Tr =80Tr VNĐ.
 Chúng ta không ai mong muốn dịch bệnh sẽ đến với bản thân, gia đình và xã hội.

 🍀Tuy nhiên cuộc sống không ai biết trước ngày mai sẽ ra sao Với số tiền hỗ trợ tuy không lớn nhưng cũng là sự chia sẻ từ phía cty Dai-ichi với khách hàng thân yêu. Chúc quý khách và gia đình thật nhiều sức khỏe luôn Bình An và Hạnh Phúc.
🤝🤝 Với 1 cái bắt tay gia đình bạn đã được bảo vệ an toàn lúc dịch bệnh bùng phát.LH 0978769965
DESCRIPTION
Công Ty Cổ Phần Dược Phẩm vhop
Cần tuyển Trình dược viên OTC tại nam định.ninh bình.thái bình
Số lượng: 05
Yêu cầu : Đã có kinh nghiệm làm Trình dược viên OTC
MÔ TẢ CÔNG VIỆC
- Thiết lập và duy trì mối quan hệ với các nhà thuốc, quầy thuốc, để thực hiện những chiến lược kinh doanh của công ty nhằm mục đích đạt được chỉ tiêu doanh số mà công ty giao.
- Triển khai thực hiện những chính sách về tiếp thị sản phẩm, chiến lược quảng cáo, tiếp thị cho sản phẩm mới….
- Thực hiện các công việc khác được giao bởi cấp quản lý.đã có ced sẵn không giao hàng
QUYỀN LỢI ĐƯỢC HƯỞNG
- Thu nhập = lương cơ bản+ thưởng tháng, thưởng quý, thưởng năm và các thưởng khác.
- Được tham gia đóng bảo hiểm xã hội, bảo hiểm y tế, bảo hiểm thất nghiệp
- Các chế độ khác theo quy định của Công ty
ĐIỆN THOẠI LIÊN HỆ
Quản lý Trương Văn Khánh – Điện thoại 0326002619"
24,"MESSAGE
📌 Cho dù bạn giàu hay nghèo thì bạn cũng cần tham gia Bảo hiểm nhân thọ.

👉 Vì rủi ro nó không biết phân biệt bạn giàu hay bạn nghèo...

👉 Người giàu gặp rủi ro họ có khả năng đối phó cao hơn (vì họ có tiền)
...

👉 Còn nếu bạn nghèo bạn càng phải tham gia Bảo hiểm nhân thọ (Tuy nhiên tham gia phù hợp với khả năng tài chính của bạn)

👉 Thực tế nếu bạn quá nghèo, bạn đang sống dưới mức chuẩn của xã hội... thì tôi khuyên thật lòng; bạn nên có cho mình một cái bảo hiểm y tế xã hội cộng đồng và hãy chịu khó cày cuốc vào để tham gia bảo hiểm nhân thọ và thoát nghèo bạn nhé.
DESCRIPTION
CON LẬY BỐ Ạ

Thông tin từ Công an tỉnh Vĩnh Phúc cho biết, Tổ công tác của Công an huyện Tam Dương trong quá trình tuần tra, kiểm soát trên đường tỉnh lộ 309 thuộc thị trấn Hợp Hòa đã phát hiện một người đàn ông mặc trang phục cảnh sát cơ động và đội mũ bảo hiểm của cảnh sát cơ động, điều khiển xe máy biển số 19L4-7688 đi trên đường, có nhiều biển hiện nghi vấn.

Tổ công tác đã yêu cầu thanh niên trên dừng xe để tiến hành kiểm tra hành chính và mời về trụ sở cơ quan công an làm việc.

Tại cơ quan công an, nam thanh niên khai tên là Hoàng Đình Đ., sinh năm 1978, ở huyện Đoan Hùng, tỉnh Phú Thọ, đang làm bảo vệ cho một trang trại lợn ở xã Liễn Sơn, huyện Sông Lô.

Bộ quần áo cảnh sát cơ động mà Đ. đang mặc và chiếc mũ là do Đ. mua trên mạng xã hội với giá 1,7 triệu đồng, mục đích giả cảnh sát cơ động khi đi ra đường cho oai.

Công an huyện Tam Dương đang tiếp tục điều tra và củng cố hồ sơ xử lý Hoàng Đình Đ. theo quy định.

Theo: Dân trí 
#Tintuc24h #Nguoiduatin24vn"
25,"MESSAGE
Năm học mới sắp bắt đầu còn nhiều khó khăn ở phía trước, ai cũng đều biết đến sự nguy hiểm của SARS-coV-2, hiện nay chúng ta có thể là F1,F2 bất cứ lúc nào và có thể trở thành F0 mà bản thân cũng không hề hay biết. Chính vì vậy, ngôi nhà chung có các thành viên Đào Sơn Tây chúng ta hãy cùng tự phòng tránh  nó chứ đừng sợ hãi nó. Chẳng may khi trở thành F0 hãy:
🔴 Tuân thủ các biện pháp 5K của Bộ Y tế khuyến cáo, thực hiện các bước phòng dịch được hướng dẫn.
🔴 Khi bệnh nhân #COVID19 được chăm sóc tại nhà, bệnh nhân và gia đình tham khảo 5 bước hướng dẫn sau:
- Nhận biết các triệu chứng của COVID-19
- Tự chăm sóc bản thân
- Cách bảo vệ những người sống cùng
- Trong trường hợp bạn được bác sỹ khuyên dùng máy đo nồng độ Oxy
- Nồng độ oxy và những hướng dẫn chung

✅Mọi thông tin cần biết về sức khoẻ, bảo hiểm y tế học sinh, chính sách quyền lợi được hưởng khi tham gia BHYT, các vấn đề gặp phải liên quan đến BHYT như mất thẻ BHYT, chưa cài đặt được ứng dụng VssID bảo hiểm xã hội điện tử tra cứu thông tin về BHYT của mình… Khi bạn là thành viên của trường Đào Sơn Tây hãy liên hệ đến người phụ trách Y tế trường Cô Hải qua sđt: 0936128309 để được hỗ trợ và hướng dẫn.
DESCRIPTION
💢💢SỐ ĐIỆN THOẠI QUAN TRỌNG CỦA HUYỆN💢💢
---------‐------------------------------‐--‐--------------------------------------
ĐỘI PCCC ĐỊNH QUÁN : 02513.614.789
TRỰC BAN CÔNG AN H ĐỊNH QUÁN : 02513.851.142
TRỰC BAN CÔNG AN H TÂN PHÚ : 02513.856.117
Đ/C QUANG PHÓ CAH : 0948812277
CẤP NƯỚC TÂN ĐỊNH : 02513.856.160
ĐIỆN LỰC ĐỊNH QUÁN : 19001006
BỆNH VIỆN ĐA KHOA ĐỊNH QUÁN : 02513.851.532 _ 0901325060
TRỰC BAN PC07 : 02513.899.909
ĐỘI TỔNG HỢP : 02513.851.169
CƠ YẾU ĐỊNH QUÁN : 02513.851.198
CÔNG AN THỊ TRÁN : 02513.851.113
CÔNG AN THANH SƠN : 02513.635.013
CÔNG AN XÃ PHÚ LỢI : 02513.851.163
CÔNG AN XÃ PHỦ VINH : 02513.851.264
CÔNG AN XÃ NGỌC ĐỊNH : 02513.635.805
CÔNG AN XÃ PHÚ TÂN : 02513.615.432
CÔNG AN XÃ LA NGÀ : 02513.631.668
CÔNG AN XÃ PHÚ CƯỜNG : 02513.639.622
CÔNG AN XÃ TÚC TRƯNG : 02513.630.360
CÔNG AN XÃ PHÚ NGỌC : 02513.853.830
CÔNG AN XÃ SUỐI NHO : 02513.874.109
CÔNG AN XÃ PHÚ TÚC : 02513.693.969
CÔNG AN XÃ GIA CANH : 02513.626.017
CÔNG AN XÃ PHÚ HÒA : 02513.626.010

_______________________________________________
Lĩnh Vực An Sinh Xã Hội Covid19:
Ông Trần Quang Tú - Chủ tịch UBND huyện: 0913.108.202
Bà Nguyễn Thị Diễm Châu - Phó Chủ tịch UBND huyện: 0918.065.636 
Ông Đoàn Đông Dương - Chủ tịch UBMTTQVN huyện: 0918.524.196
Bà Mai Thị Chi Liên - Trưởng phòng Lao động TBXH: 0918.142.668
Ông Nguyễn Mạnh Khỏe - Chủ tịch Hội Chữ thập đỏ: 0917.393.349
Ông Nguyễn Chánh Bổn - Chủ tịch Liên đoàn Lao động huyện: 0918.354.517 
Ông Hồ Sỹ Hưng - Giám đốc Bảo hiểm Xã hội huyện: 0986.569.555 
Bà Hồ Thanh Trúc - Trưởng phòng Tài chính Kế hoạch: 0919.314.627 
Bà Thạch Thị Ngọc Thanh - Trưởng phòng Dân tộc: 0937.752.945 
Ông Lê Minh Vân - Giám đốc Trung tâm VH TT - TT - 0913.755.434 
Ông Vũ Mạnh Dương - Phó phòng Nông nghiệp và PTNT: 0918.745.573
Ông Lê Minh Giang - Chủ tịch Hội Nông dân huyện: 0989.298.169
Ông Lê Thanh Tuấn  - Trưởng phòng Kinh tế và Hạ tầng: 0913.757.003
 _______________________________________________
Lĩnh Vực Y Tế - Covid19:
Ông Trần Quang Tú - Chủ tịch UBND huyện: 0913.108.202
Bà Nguyễn Thị Diễm Châu - Phó Chủ tịch UBND huyện: 0918.065.636 
Ông Nguyễn Văn Tùng - Giám đốc Trung tâm Y tế: 0918.384.799
Ông Đinh Ngọc Nhân - Trưởng phòng Y tế: 0917.191.434 5
Ông Nguyễn Văn Danh - GĐ Bệnh viện ĐKKV Định Quán: 0903.037.847 
Ông Tạ Quang Trí - PGĐ Bệnh viện ĐKKV Định Quán: 0982.388.590 
Ông Dương Văn Hạnh - Phó Trưởng Phòng Y tế: 0977.705.105
Ông Trần Văn Hiếu - Chuyên viên VP HĐND - UBND huyện: 0975.769.079

M.n chú ý lưu lại số để khi cấp bách có thể gọi nhé!
Cập nhật: ☎ Bộ Y tế - Hotline: 19009095
❤
#lq"
26,"MESSAGE
Người lao động sẽ mất ngay những quyền lợi này nếu không lấy sổ BHXH khi nghỉ việc, anh chị em Bình Dương lưu tâm.
DESCRIPTION
Bảo hiểm xã hội Việt Nam trả lời thắc mắc của bạn đọc liên quan đến quyền lợi khi tham gia Bảo hiểm y tế (BHYT) 5 năm liên tục."
27,"MESSAGE
🛎 Khai trương siêu thị cực xịn tại THÀNH PHỐ VŨNG TÀU, chớ bỏ qua bạn nhé!
> Đặc biệt tại các siêu thị:
🌿Siêu thị 100 Rạch Bà ( gần Công KCN Đông Xuyên)
🌿 Siêu thị 296 Trương Công Định ( Vòng Xoay Lê Hồng Phong)
🌿Siêu thị 563B Nguyễn An Ninh ( Vòng xoay Dầu Khí)
> Vị trí nhân viên chính thức Kho bán hàng, Thu ngân, Bảo vệ siêu thị
👍 Bạn chỉ cần click: http://tgdd.vn/tuyendungbhx để đăng ký
👍Yêu cầu đơn giản: Độ tuổi từ 18 - 40, sức khỏe tốt, làm được ca xoay, có làm được ca đêm thì về ngay nhà Bách Hóa nhen.
Nói sương sương về phúc lợi: Mức lương ổn định, Hưởng đầy đủ chế độ phúc lợi như Bảo hiểm y tế, Bảo hiểm xã hội,...
#BHX #bhxhcm #tuyendungbachhoaxanh
DESCRIPTION
✅ THÔNG BÁO TUYỂN CHỌN CÔNG DÂN THỰC HIỆN NGHĨA VỤ THAM GIA CAND NĂM 2022

👉 Đối tượng tuyển chọn: Nam công dân từ đủ 18 tuổi đến hết 25 tuổi có hộ khẩu tại tỉnh Tuyên Quang (Công dân có trình độ cao đẳng, đại học được tuyển chọn đến hết 27 tuổi).

📣 Thời gian thực hiện nghĩa vụ tham gia CAND là 24 tháng.

✅ Tiêu chuẩn chính trị: Nghiêm chỉnh chấp hành chủ trương của Đảng, pháp luật của Nhà nước; không có tiền án, tiền sự; không trong thời gian bị áp dụng biện pháp giáo dục bắt buộc.
✅ Tiêu chuẩn văn hoá: Có bằng tốt nghiệp THPT trở lên.
✅ Tiêu chuẩn sức khoẻ: Cao từ 1,62m trở lên, nặng từ 47kg trở lên. Thể hình cân đối, không dị hình, dị dạng, không có vết xăm trên cơ thể, không bấm lỗ tai…

✅ Địa điểm: Công dân trực tiếp đăng ký tại Công an xã, thị trấn nơi cư trú.
✅ Thời gian: Từ ngày 26/8 đến hết ngày 30/9/2021.

🇻🇳 Công dân thực hiện nghĩa vụ tham gia CAND được hưởng chế độ bảo hiểm xã hội, bảo hiểm y tế;
👉🏻 Được cộng điểm khi dự thi, xét tuyển vào trường CAND;
👉🏻 Được xét chuyển sang chế độ chuyên nghiệp theo chỉ tiêu của Bộ Công an;
👉🏻 Bố mẹ đẻ được hưởng chế độ bảo hiểm y tế và trợ cấp khó khăn do ngân sách Nhà nước bảo đảm.
#Conganhuyensonduong"
28,"MESSAGE
So sánh bảo hiểm xã hội và bhnt
DESCRIPTION
Đăng ký online nhận lương hưu qua tài khoản trên Ứng dụng VSSID - Bảo hiểm xã hội số"
29,"MESSAGE
Bà con mình cập nhật thêm thông tin này nhé! ☺️
DESCRIPTION
✍️CÁC HÀNH VI LỪA ĐẢO PHỔ BIẾN✖️
________Mr Minh Tây Ninh______
1) Hành vi CƯỠNG ĐOẠT TÀI SẢN.
A thiếu nợ B và nhiều người,thì A phải có nghĩa vụ hoàn trả lại đầy đủ lại cho B (thoả thuận Dân Sự,lãi suất,thời hạn...là do các bên tự nguyện với nhau).
Tuyệt nhiên không chấp nhận bất cứ hành vi CƯỠNG ÉP, ÉP BUỘC BÊN A PHẢI GIAO TÀI SẢN CHO B, hoặc bên B được quyền đến nhà ngang nhiên CƯỠNG ĐOẠT TÀI SẢN KHẤU TRỪ NỢ NẦN, hoặc có hành vi tự ý vào nhà đem tài sản của A đem thế chấp trừ nợ (!) ---) nếu đi nhiều người cùng thực hiện hành vi CƯỠNG ĐOẠT TÀI SẢN thì ghép thêm tội ""CÓ TỔ CHỨC"" ---) chung cho đủ,ăn cho no,nợ thì mãi mãi không hoàn lại được ! 

2) Hành vi LỪA ĐẢO QUA MẠNG XÃ HỘI.
Rất phổ biến hiện nay dưới chiêu trò : lấy avatar người nước ngoài,hoặc người quen,sử dụng GOOGLE DỊCH BÔ LÔ BA LA kết bạn trên zalo hoặc facebook xong inbox riêng thông báo nạn nhân NHẬN QUÀ,TRÚNG THƯỞNG,ĐƯỢC TIỀN TRỢ CẤP,CHƠI GAME TRÚNG THƯỞNG vv...
Chung quy đều là cạm bẫy lừa đảo các nạn nhân phải CHUYỂN TIỀN TRƯỚC CHO CÁC ĐỐI TƯỢNG.
Sau khi thực hiện,sẽ chặn nạn nhân,khó để lại bất kỳ dấu vết nào & vô phương hoàn lại tiền cho nạn nhân !

3) Hành vi TƯ VẤN TÀI CHÍNH KÊU GỌI ĐẦU TƯ.
Đây vẫn là các chiêu trò cũ.
Phổ biến là các hình thức : mời gọi đầu tư sàn này kênh nọ,kèm cam kết bảo hiểm rủi ro đầu tư,trả lãi khủng,cam kết bao có lời,kèm vài ba cái tên anh này chị nọ inbox loè các nạn nhân.
Chung quy các chiêu trò này : MỞ TÀI KHOẢN CHO NGƯỜI MỚI, ĂN PHÍ HOA HỒNG CÒ MỒI GIỚI THIỆU, VẼ VỜI LỢI NHUẬN, ĐẶT LỆNH CHƠI ĐẦU TƯ ẢO GIÙM CÁC NẠN NHÂN & ĐỢI RỦI RO ĐẾN ĐỂ CÓ CÁI CỚ LÀ DO NẠN NHÂN XUI RỦI, XONG MẤT HÚT. 
Còn khoản cam kết đền bù bảo hiểm thì NẰM MƠ ĐỂ NHẬN LẠI, thậm chí có trúng lớn tỷ lệ cũng 1%,muốn RÚT TIỀN RA XÀI CŨNG VÔ PHƯƠNG !

4) Hành vi HÙN HẠP ĐẦU TƯ CHUNG ĐẶT CỌC TRƯỚC.
Đây là chiêu trò khá phổ biến để huy động vốn.
Đánh vào lòng tham con người.
Các đối tượng sẽ giả mạo tổ chức,dự án,kêu gọi hùn hạp làm ăn đâù tư vào TỔ CHỨC ABC XYZ kèm nạn nhân nộp một khoản tiền."
30,"MESSAGE
Công ty TNHH Điện tử tự động hóa CN Hợp Phát cần tuyển: 
Nhân viên kỹ thuật điện: 1
� Mô tả công việc:
- Thiết kế, lắp đặt tủ điện và lập trình PLC 
- Bảo hành – bảo trì và chăm sóc khách hàng về các vấn đề kỹ thuật
� Quyền lợi: 
- Mức lương: 7.000.000-15.000.000 VNĐ 
- Được đào tạo kỹ năng về công việc.
- Thưởng vào dịp Lễ, Tết.
- Hỗ trợ đóng bảo hiểm y tế, bảo hiểm xã hội.
- Thời gian làm việc là 8 tiếng/ngày, từ t2 - t7, nghỉ chủ nhật và lễ tết
� Yêu cầu:
- Cần cù, chịu khó, tính kỷ luật tốt và có chí cầu tiến.
- Tốt nghiệp trung cấp, cao đẳng, đại học về chuyên ngành điện là một lợi thế.

Kế toán bán hàng: 1
- Bán hàng, giao tiếp với khách hàng qua điện thoại và tư vấn cho khách hàng
- Tìm kiếm khách hàng qua tất cả các kênh, lên kế hoạch marketing và quảng bá sản phẩm
- Tham mưu cho cấp trên về các giải pháp để thúc đẩy quá trình bán hàng
� Quyền lợi: 
- Mức lương: 6.000.000-10.000.000 VNĐ 
- Được đào tạo kỹ năng về công việc.
- Thưởng vào dịp Lễ, Tết.
- Hỗ trợ đóng bảo hiểm y tế, bảo hiểm xã hội.
 - Thời gian làm việc là 8 tiếng/ngày, từ t2 - t7, nghỉ chủ nhật và lễ tết
� Yêu cầu:
- Cần cù, chịu khó, tính kỷ luật tốt và có chí cầu tiến.
- Tốt nghiệp trung cấp, cao đẳng, đại học về chuyên ngành kế toán.
- Thái độ hơn trình độ, luôn nỗ lực trong công việc.
� Nộp hồ sơ tại địa chỉ:
-Mail: hopphatautomations@gmail.com
-Địa chỉ: 207 Nguyễn Lương Bằng, TP Hải Dương
-SĐT liên hệ: 0986.912.826
DESCRIPTION
Bảo hiểm xã hội (BHXH) Việt Nam vừa triển khai chức năng điều chỉnh thông tin giao dịch điện tử cá nhân, thông tin người tham gia trên Cổng Dịch vụ công BHXH Việt Nam (https://dichvucong.baohiemxahoi.gov.vn) nhằm đáp ứng nhu cầu bổ sung, điều..."
31,"MESSAGE
Chuyên gia cho rằng trong trường hợp số kết dư của hai Quỹ bảo hiểm xã hội và bảo hiểm thất nghiệp nhàn rỗi thì có thể được đầu tư để bảo toàn và tăng trưởng.
DESCRIPTION
LCĐT – Ngày 28/8, Đoàn thanh niên Bảo hiểm xã hội tỉnh, Ngân hàng Nhà nước tỉnh Lào Cai và Ngân hàng Vietcombank Chi nhánh tỉnh Lào Cai phối hợp tổ chức chương trình tặng quà các chốt kiểm dịch phòng, chống dịch Covid-19 trên chốt cao tố..."
